Ensemble,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,0.4699028978798669,0.9462689523619142,0.3531631820739898,1.0075226645535473,0.7585145021371477,0.7612082979508809
2,0.42348426729285626,0.9510039851815559,0.32144738520352184,0.9601522393321559,0.7357624856353571,0.742767286228282
3,0.400220827389277,0.9611839623254703,0.2869144370766868,1.0476893319034932,0.7334394165206446,0.8208200202243668
4,0.3716206856018171,0.9696498596298904,0.27013328015065824,1.0230374729443081,0.7534186315293006,0.7887121107918874
5,0.3072984142402074,0.9764504839097026,0.22565483974988482,0.962207702991544,0.7718327333842709,0.7504305311782019
6,0.26331857213989457,0.9822759170863967,0.19310884391945018,1.0129757522669314,0.7437896311907177,0.7824765388965605
7,0.2651404712384917,0.9818271884944829,0.19819724857174187,0.9803052906812411,0.7569725453192088,0.7608540250701564
8,0.18232471476654852,0.9920630335197698,0.1162917537858001,1.0183044970538773,0.7629620893366058,0.7879766613841058
9,0.25976594125652325,0.9818780655554349,0.19956247433624438,0.9885927194026909,0.7416519571363802,0.7613909899634973
10,0.25982103299907583,0.9834782860095411,0.20102719838745822,1.0221267234601503,0.7509813282429589,0.7903299738381591
